Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
TOYOTA,SEDAN_Y,COMPACT,5.1,8,M6,Z,12.9,9.4,11.3,20,277
CHEVROLET,SEDAN_Y,MID-SIZE,3.8,6,AS5,E,11.5,8.3,10.1,23,242
MAZDA,MODEL_A,STATION WAGON - SMALL,1.3,4,A9,D,6.4,4.6,5.6,42,140
BMW,SEDAN_Y,COMPACT,1.4,4,AS5,Z,5.9,4.3,5.2,45,126
SUBARU,MODEL_A,SUV - SMALL,1.2,4,AM7,Z,6.7,4.9,5.9,39,132
FORD,SUV_X,MINICOMPACT,3.0,6,M6,X,9.8,7.1,8.6,27,210
BMW,SUV_X,STATION WAGON - SMALL,4.2,8,AS5,Z,11.4,8.3,10.0,23,244
BMW,MODEL_C,SUV - SMALL,1.7,4,M6,X,7.7,5.6,6.8,34,168
CHEVROLET,SUV_X,MID-SIZE,4.0,8,AS5,D,10.7,7.8,9.4,25,221
MERCEDES-BENZ,MODEL_B,TWO-SEATER,1.3,4,M6,E,5.7,4.2,5.0,47,113
VOLKSWAGEN,HATCH_Z,MINICOMPACT,2.8,6,AV,E,8.4,6.1,7.4,31,177
MAZDA,HATCH_Z,COMPACT,5.0,8,M6,Z,13.1,9.5,11.5,20,276
ACURA,HATCH_Z,MINICOMPACT,1.6,4,M6,Z,6.7,4.8,5.8,40,127
KIA,SEDAN_Y,SUBCOMPACT,5.7,8,A9,X,13.6,9.9,11.9,19,282
MERCEDES-BENZ,MODEL_A,COMPACT,6.0,8,AS5,D,14.7,10.7,12.9,18,312
NISSAN,SEDAN_Y,TWO-SEATER,5.7,8,A8,Z,13.9,10.1,12.2,19,289
JEEP,MODEL_B,SUV - SMALL,1.5,4,A8,X,7.8,5.7,6.9,34,153
CHEVROLET,SUV_X,TWO-SEATER,3.3,6,AS5,Z,9.1,6.6,8.0,29,192
NISSAN,MODEL_C,COMPACT,5.9,8,AM7,X,14.5,10.5,12.7,18,289
AUDI,MODEL_A,MINICOMPACT,5.4,8,M6,E,13.1,9.5,11.5,20,275
BMW,MODEL_C,MINICOMPACT,2.2,4,M6,Z,8.7,6.4,7.7,30,179
MAZDA,MODEL_C,SUV - SMALL,5.0,8,AV,Z,12.5,9.1,11.0,21,267
MAZDA,MODEL_B,TWO-SEATER,3.9,6,A8,X,10.3,7.5,9.0,26,210
JEEP,MODEL_C,MINICOMPACT,5.3,8,AS5,X,13.8,10.0,12.1,19,295
AUDI,HATCH_Z,MID-SIZE,3.7,6,AV,D,10.1,7.4,8.9,26,209
VOLKSWAGEN,HATCH_Z,STATION WAGON - SMALL,5.8,8,A8,E,13.8,10.1,12.1,19,291
KIA,MODEL_A,SUBCOMPACT,2.4,4,A8,Z,8.3,6.0,7.3,32,178
KIA,SEDAN_Y,COMPACT,1.8,4,AV,E,7.1,5.2,6.2,37,153
JEEP,SEDAN_Y,MINICOMPACT,2.5,6,A8,E,8.1,5.9,7.1,33,174
VOLVO,MODEL_C,SUV - SMALL,2.2,4,AV,D,7.8,5.7,6.9,34,162
HONDA,MODEL_A,SUBCOMPACT,3.6,6,M6,D,10.5,7.7,9.2,25,214
BMW,HATCH_Z,MINICOMPACT,2.2,4,M6,X,8.3,6.0,7.3,32,175
AUDI,HATCH_Z,MINICOMPACT,5.8,8,AS5,Z,14.6,10.6,12.8,18,303
SUBARU,SEDAN_Y,SUV - SMALL,4.7,8,A9,E,11.9,8.7,10.5,22,245
TOYOTA,HATCH_Z,TWO-SEATER,1.7,4,M6,E,7.2,5.2,6.3,37,150
CHEVROLET,MODEL_B,SUV - SMALL,5.0,8,AS5,Z,12.5,9.1,11.0,21,267
NISSAN,MODEL_C,SUBCOMPACT,3.1,6,AS5,Z,10.3,7.5,9.0,26,211
AUDI,SUV_X,SUV - SMALL,4.3,8,M6,Z,11.3,8.2,9.9,23,234
TOYOTA,MODEL_C,SUV - SMALL,5.4,8,A8,Z,13.3,9.7,11.7,20,280
HYUNDAI,MODEL_A,SUBCOMPACT,4.1,8,AS5,X,11.1,8.1,9.8,24,239
VOLVO,MODEL_C,STATION WAGON - SMALL,4.7,8,AS5,Z,11.7,8.5,10.3,22,247
MERCEDES-BENZ,MODEL_B,TWO-SEATER,5.7,8,AV,X,13.9,10.1,12.2,19,295
HYUNDAI,SUV_X,SUV - SMALL,5.6,8,A9,E,13.4,9.8,11.8,19,288
MAZDA,SUV_X,SUBCOMPACT,4.8,8,A9,E,12.8,9.3,11.2,21,266
BMW,MODEL_A,SUV - SMALL,1.0,4,AS5,X,6.1,4.4,5.3,44,126
VOLKSWAGEN,MODEL_C,TWO-SEATER,2.9,6,AM7,X,9.0,6.6,7.9,29,187
TOYOTA,SUV_X,COMPACT,1.0,4,AM7,D,5.8,4.2,5.1,46,124
CHEVROLET,SEDAN_Y,MINICOMPACT,4.0,8,A8,Z,11.9,8.7,10.5,22,252
SUBARU,MODEL_A,MID-SIZE,4.4,8,A9,Z,12.4,9.0,10.9,21,259
HYUNDAI,MODEL_A,MID-SIZE,3.0,6,M6,E,10.1,7.4,8.9,26,215
HONDA,SUV_X,COMPACT,3.9,6,A9,D,10.7,7.8,9.4,25,223
